representation,predictor,split,group,trial,tag,model_detail,hidden,depth,dropout,lr,weight_decay,batch_size,max_epochs,best_epoch,device,val_rmse,external_rmse,n,rmse,mae,r2,bias,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,max_bin,params,method,k,weights,metric
chemberta__murcko_gnn,xgb,External,all,68,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8530061715898934,1.288879705241981,2251,1.288879705241981,0.8743491768836975,0.5833509564399719,-0.0650762766599655,1000.0,7.0,0.0153567445453665,1.0,0.35,1.0,1.0845879923566005e-06,1.784725363417658,512.0,,,,,
chemberta__murcko_gnn,xgb,External,all6_bad,68,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8530061715898934,1.288879705241981,256,3.0298505875917185,2.765425205230713,-0.2046520709991455,-0.6852163076400757,1000.0,7.0,0.0153567445453665,1.0,0.35,1.0,1.0845879923566005e-06,1.784725363417658,512.0,,,,,
chemberta__murcko_gnn,xgb,External,not_all6_bad,68,external_top_subgroup_alt_head,XGBRegressor,,,,,,,,,,0.8530061715898934,1.288879705241981,1995,0.8345025840111296,0.6316847801208496,0.8010571599006653,0.0145005686208605,1000.0,7.0,0.0153567445453665,1.0,0.35,1.0,1.0845879923566005e-06,1.784725363417658,512.0,,,,,
mordred__ecfp,knn_svm,Train,all,35,all6_bad_best_pair,KNeighborsRegressor,,,,,,,,,,1.083767256122598,1.297335342684529,6437,0.0,0.0,1.0,0.0,,,,,,,,,,,sklearn_knn,10.0,distance,manhattan
mordred__ecfp,knn_svm,Train,not_all6_bad,35,all6_bad_best_pair,KNeighborsRegressor,,,,,,,,,,1.083767256122598,1.297335342684529,6437,0.0,0.0,1.0,0.0,,,,,,,,,,,sklearn_knn,10.0,distance,manhattan
mordred__ecfp,knn_svm,Val,all,35,all6_bad_best_pair,KNeighborsRegressor,,,,,,,,,,1.083767256122598,1.297335342684529,1610,1.083767256122598,0.7546103269152843,0.7786297894273372,0.0083887756947796,,,,,,,,,,,sklearn_knn,10.0,distance,manhattan
mordred__ecfp,knn_svm,Val,all6_bad,35,all6_bad_best_pair,KNeighborsRegressor,,,,,,,,,,1.083767256122598,1.297335342684529,74,2.775685414779228,2.4842266524974383,0.2547820505652747,-0.4584674143007133,,,,,,,,,,,sklearn_knn,10.0,distance,manhattan
mordred__ecfp,knn_svm,Val,not_all6_bad,35,all6_bad_best_pair,KNeighborsRegressor,,,,,,,,,,1.083767256122598,1.297335342684529,1536,0.9273408144609184,0.6712824570630191,0.830033422186959,0.030880545264875,,,,,,,,,,,sklearn_knn,10.0,distance,manhattan
mordred__ecfp,knn_svm,External,all,35,all6_bad_best_pair,KNeighborsRegressor,,,,,,,,,,1.083767256122598,1.297335342684529,2251,1.297335342684529,0.8981755636860493,0.5778661845413544,-0.0568078119016085,,,,,,,,,,,sklearn_knn,10.0,distance,manhattan
mordred__ecfp,knn_svm,External,all6_bad,35,all6_bad_best_pair,KNeighborsRegressor,,,,,,,,,,1.083767256122598,1.297335342684529,256,2.973062734257045,2.6476475562548467,-0.1599182433944663,-0.7931292980258309,,,,,,,,,,,sklearn_knn,10.0,distance,manhattan
mordred__ecfp,knn_svm,External,not_all6_bad,35,all6_bad_best_pair,KNeighborsRegressor,,,,,,,,,,1.083767256122598,1.297335342684529,1995,0.8745355206878406,0.6736819145143138,0.7815118533331666,0.0376775517313744,,,,,,,,,,,sklearn_knn,10.0,distance,manhattan
mordred__ecfp,xgb,Train,all,37,all6_bad_pair_alt_head,XGBRegressor,,,,,,,,,,0.8287473535279701,1.2943216949641738,6437,0.1134758215533702,0.0856528505682945,0.9975834488868712,-9.728111035656184e-05,1800.0,6.0,0.0469465874782669,0.6,0.7,2.0,6.804608875768856e-06,3.356620580339294,256.0,,,,,
mordred__ecfp,xgb,Train,not_all6_bad,37,all6_bad_pair_alt_head,XGBRegressor,,,,,,,,,,0.8287473535279701,1.2943216949641738,6437,0.1134758215533702,0.0856528505682945,0.9975834488868712,-9.728111035656184e-05,1800.0,6.0,0.0469465874782669,0.6,0.7,2.0,6.804608875768856e-06,3.356620580339294,256.0,,,,,
mordred__ecfp,xgb,Val,all,37,all6_bad_pair_alt_head,XGBRegressor,,,,,,,,,,0.8287473535279701,1.2943216949641738,1610,0.8287473535279701,0.5764979124069214,0.8705531358718872,-0.0338910371065139,1800.0,6.0,0.0469465874782669,0.6,0.7,2.0,6.804608875768856e-06,3.356620580339294,256.0,,,,,
mordred__ecfp,xgb,Val,all6_bad,37,all6_bad_pair_alt_head,XGBRegressor,,,,,,,,,,0.8287473535279701,1.2943216949641738,74,2.2826813688220664,2.121126651763916,0.4959966540336609,-0.2731960117816925,1800.0,6.0,0.0469465874782669,0.6,0.7,2.0,6.804608875768856e-06,3.356620580339294,256.0,,,,,
mordred__ecfp,xgb,Val,not_all6_bad,37,all6_bad_pair_alt_head,XGBRegressor,,,,,,,,,,0.8287473535279701,1.2943216949641738,1536,0.684746690957304,0.5020822882652283,0.9073288440704346,-0.0223620161414146,1800.0,6.0,0.0469465874782669,0.6,0.7,2.0,6.804608875768856e-06,3.356620580339294,256.0,,,,,
