representation,predictor,split,group,trial,model_detail,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_alpha,reg_lambda,val_rmse,external_rmse,n,rmse,mae,r2,bias,params,hidden,depth,dropout,lr,weight_decay,batch_size,max_epochs,best_epoch,device,method,k,weights,metric
mordred,mlp,External,all6_bad,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,256,3.44429897356654,2.8034002780914307,-0.5567572116851807,-0.8692038059234619,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,mlp,External,not_all6_bad,1,TorchMLP,,,,,,,,,0.868847160943769,5.229337266466943,1995,5.415969666851078,1.048058271408081,-7.379641532897949,-0.347320407629013,,256.0,3.0,0.05,0.0003700227105966,0.0002342359612564,256.0,220.0,49.0,cuda:0,,,,
mordred,ridge,Train,all,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,6437,1.03759765625,0.7660379409790039,0.7979545593261719,2.3704813667535522e-09,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred,ridge,Train,not_all6_bad,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,6437,1.03759765625,0.7660379409790039,0.7979545593261719,2.3704813667535522e-09,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred,ridge,Val,all,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,1610,1.0789797062490063,0.7948787808418274,0.7805812954902649,-0.0470622926950454,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred,ridge,Val,all6_bad,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,74,2.5451075500066938,2.282320976257324,0.3734508752822876,-0.2486833333969116,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred,ridge,Val,not_all6_bad,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,1536,0.9530027655094044,0.7232182025909424,0.8204964399337769,-0.0373487807810306,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred,ridge,External,all,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,2251,2.373338318812388,1.1697734594345093,-0.4127486944198608,-0.140553280711174,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred,ridge,External,all6_bad,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,256,3.1445571803569843,2.842386245727539,-0.2975921630859375,-0.6907905340194702,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
mordred,ridge,External,not_all6_bad,11,elastic_alpha_0.01_l1_0.5,,,,,,,,,1.0789797062490063,2.373338318812388,1995,2.255363746791319,0.9551424980163574,-0.45313560962677,-0.0699463933706283,"{'alpha': 0.01, 'copy_X': True, 'fit_intercept': True, 'l1_ratio': 0.5, 'max_iter': 5000, 'positive': False, 'precompute': False, 'random_state': 260814, 'selection': 'cyclic', 'tol': 0.0001, 'warm_start': False}",,,,,,,,,,,,,
