evaluation_id,evaluation,candidate_count_in_evaluation,representation,predictor,n,rmse,mae,bias
R02,ComPlat OOF after global preselection,35,BRICS-subgroup GNN,XGBoost,17937,1.0796161506945543,0.7487724602731454,0.0006829349470987334
R02,ComPlat OOF after global preselection,35,BRICS-subgroup GNN,random forest,17937,1.0669674882468627,0.7263413496844792,-0.003938783689745636
R02,ComPlat OOF after global preselection,35,BRICS-subgroup GNN,multilayer perceptron,17937,1.0836553052373976,0.7420957900355425,-0.0077655154740131575
R02,ComPlat OOF after global preselection,35,BRICS-subgroup GNN,ridge regression,17937,1.0852917799075215,0.7501788966137017,7.194953899370215e-05
R02,ComPlat OOF after global preselection,35,BRICS-subgroup GNN,k-nearest neighbours,17937,1.0615230177577344,0.7177810892419811,-0.006121887091866393
R02,ComPlat OOF after global preselection,35,Murcko-subgroup GNN,XGBoost,17937,1.1075270346852015,0.7717127889827073,0.001008718752929708
R02,ComPlat OOF after global preselection,35,Murcko-subgroup GNN,random forest,17937,1.0933921801816289,0.7478866492344716,-0.0013170146091880596
R02,ComPlat OOF after global preselection,35,Murcko-subgroup GNN,multilayer perceptron,17937,1.105288440087043,0.766334634908071,-0.0033025285617098716
R02,ComPlat OOF after global preselection,35,Murcko-subgroup GNN,ridge regression,17937,1.1079265414411146,0.773017388465284,0.0013467919875675904
R02,ComPlat OOF after global preselection,35,Murcko-subgroup GNN,k-nearest neighbours,17937,1.1010203293023508,0.7417010805591794,-0.0007309613354699211
R03,TDC OOF,35,Mordred,XGBoost,7985,1.0888795091316947,0.7429491182529869,-0.005207691248353156
R03,TDC OOF,35,Mordred,random forest,7985,1.0746973371883155,0.7005561145114392,-0.005280794785417265
R03,TDC OOF,35,Mordred,multilayer perceptron,7985,1.1437391726382506,0.7638171233507952,-0.009788747958960552
R03,TDC OOF,35,Mordred,ridge regression,7985,1.1845621584484152,0.8173831593673764,0.0012844608679298635
R03,TDC OOF,35,Mordred,k-nearest neighbours,7985,1.2408440229401367,0.8441554700682625,0.0018880407331930843
R03,TDC OOF,35,ECFP,XGBoost,7985,1.5848234387121096,1.2045678754114904,0.004488171837213534
R03,TDC OOF,35,ECFP,random forest,7985,1.3625581424118274,0.967538641135072,0.04641964820116399
R03,TDC OOF,35,ECFP,multilayer perceptron,7985,1.3714282086189546,0.9801669978747778,0.06093139123051222
R03,TDC OOF,35,ECFP,ridge regression,7985,1.4734037816346357,1.096429783020288,0.0001176461272886727
R03,TDC OOF,35,ECFP,k-nearest neighbours,7985,1.4874590619866759,1.053272035252105,0.019359667432373565
R03,TDC OOF,35,ChemBERTa,XGBoost,7985,1.0860256187820885,0.740816410209573,0.008400534910877895
R03,TDC OOF,35,ChemBERTa,random forest,7985,1.0793992374640629,0.7296658545477624,0.004570232626501427
R03,TDC OOF,35,ChemBERTa,multilayer perceptron,7985,1.1030286492793926,0.7536540809171921,-0.003033599619859726
R03,TDC OOF,35,ChemBERTa,ridge regression,7985,1.0818864564509854,0.7336677044543444,0.0031548544770369463
R03,TDC OOF,35,ChemBERTa,k-nearest neighbours,7985,1.0981317808762865,0.7562103510658166,0.024277365220355823
R03,TDC OOF,35,3D-MPNN,XGBoost,7985,1.2757169329528948,0.8837373155708791,-0.0049718984843293585
R03,TDC OOF,35,3D-MPNN,random forest,7985,1.2608199417468269,0.8579717735062927,-0.015267014617070059
R03,TDC OOF,35,3D-MPNN,multilayer perceptron,7985,1.2407258545379267,0.8365794127195993,0.001835104529317475
R03,TDC OOF,35,3D-MPNN,ridge regression,7985,1.280088770417611,0.8849740505453776,-0.000594174936726356
R03,TDC OOF,35,3D-MPNN,k-nearest neighbours,7985,1.3044839418341894,0.8962321971031599,-0.09540772250365205
