evaluation_id,evaluation,axis,level,level_index,n,sparse_n_lt_100,xgb_evidentiary_status,neural_evidentiary_status,dlg_mae,xgb_mae,neural_mae,delta_mae_xgb,delta_mae_xgb_ci95_low,delta_mae_xgb_ci95_high,delta_mae_neural,delta_mae_neural_ci95_low,delta_mae_neural_ci95_high,bootstrap_seed_xgb,bootstrap_seed_neural
R02,ComPlat OOF,Rotatable bonds,0,3,1859,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5904130291184325,0.5886032851231845,0.6792515152206294,0.001809743995248,-0.0067730404700312,0.0102912531836655,-0.0888384861021969,-0.1033285416313785,-0.0741482637917652,20261853,20261854
R02,ComPlat OOF,Rotatable bonds,1--4,4,9435,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5173595734980975,0.5393836369906617,0.565688079857961,-0.0220240634925642,-0.0253122320559482,-0.0186782251539084,-0.0483285063598635,-0.0540879597546689,-0.0423412424000692,20261863,20261864
R02,ComPlat OOF,Rotatable bonds,>=5,5,6643,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5956616299558946,0.626898840591004,0.6554876756903216,-0.0312372106351094,-0.0364244251321696,-0.0259277289451013,-0.059826045734427,-0.069203091003166,-0.0507004336707169,20261873,20261874
R02,ComPlat OOF,H-bond donor,no,6,6204,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5402192024874529,0.5644122164724437,0.5995107431199603,-0.0241930139849907,-0.0291732678905895,-0.0192576551697558,-0.0592915406325074,-0.0676661078913391,-0.0507613824008106,20261883,20261884
R02,ComPlat OOF,H-bond donor,yes,7,11733,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5611800624435835,0.5834972921760753,0.6166398687078826,-0.0223172297324917,-0.0255900554672165,-0.0190573294262887,-0.055459806264299,-0.0612863271700894,-0.0495721675765884,20261893,20261894
R02,ComPlat OOF,H-bond acceptor,no,8,850,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.593041382947662,0.6308084479202353,0.6361079827511765,-0.0377670649725733,-0.0530407221533898,-0.0222557885365059,-0.0430665998035145,-0.0703068854172968,-0.0158380479395883,20261903,20261904
R02,ComPlat OOF,H-bond acceptor,yes,9,17087,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5519845747865167,0.5742143114276778,0.609452124101792,-0.022229736641161,-0.0250371287557771,-0.0193941673778318,-0.0574675493152752,-0.0623984944127619,-0.0526470548317749,20261913,20261914
R02,ComPlat OOF,Aromatic ring,no,10,7454,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5425077405700711,0.568572516565269,0.5953396799565616,-0.0260647759951978,-0.0304295116339573,-0.0216341228325001,-0.0528319393864904,-0.0605695788163842,-0.0449321543916606,20261923,20261924
R02,ComPlat OOF,Aromatic ring,yes,11,10483,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5620521708168856,0.5828148031688845,0.6216482166812562,-0.0207626323519988,-0.0243330391214627,-0.0172387815936955,-0.0595960458643706,-0.0658090343804731,-0.0535409041679744,20261933,20261934
R02,ComPlat OOF,N-containing heterocycle,no,12,10660,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5525497748802113,0.5732889789258779,0.6151177496106348,-0.0207392040456666,-0.0243360136287824,-0.0171430793569728,-0.0625679747304235,-0.0688510380833193,-0.056166253244613,20261943,20261944
R02,ComPlat OOF,N-containing heterocycle,yes,13,7277,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5559523161549635,0.5821803771811288,0.6042661837318198,-0.0262280610261652,-0.0304426108717107,-0.0219995675977398,-0.0483138675768562,-0.0557251852975071,-0.0408182640827627,20261953,20261954
R02,ComPlat OOF,Carboxyl group,no,14,15820,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5421482941212805,0.5659024450272935,0.598664479107773,-0.0237541509060129,-0.0267296792352297,-0.020797912017622,-0.0565161849864924,-0.0617085112894036,-0.0515393124304639,20261963,20261964
R02,ComPlat OOF,Carboxyl group,yes,15,2117,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.6419742994256321,0.6590507509518887,0.7007690932361121,-0.0170764515262565,-0.0255095640373577,-0.0087492624489137,-0.05879479381048,-0.073458729669311,-0.0442542672143335,20261973,20261974
R03,TDC OOF,Molecular weight,<250 Da,0,4830,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.5560484951408838,0.6008862397267454,0.607923719880828,-0.0448377445858615,-0.0545911587593457,-0.0349383312615893,-0.0518752247399442,-0.0612048966685029,-0.0424644060005087,20262823,20262824
R03,TDC OOF,Molecular weight,250--<400 Da,1,2262,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.7052043835528752,0.7523419554920424,0.760103163011008,-0.0471375719391672,-0.0621820385645429,-0.0320881062974239,-0.0548987794581328,-0.0706754451095061,-0.0394671590996779,20262833,20262834
R03,TDC OOF,Molecular weight,>=400 Da,2,893,False,exploratory_paired_row_bootstrap,exploratory_paired_row_bootstrap,0.9418263539693156,1.022193021651064,0.982265759168197,-0.0803666676817482,-0.1114878011156825,-0.0494701428661331,-0.0404394051988813,-0.0702622752846894,-0.0093424331197435,20262843,20262844
