evaluation_id,evaluation,n,configuration_id,representation_1,representation_2,predictor,rmse,mae,bias,dlg_sol_rmse,dlg_sol_lower_point_estimate
R01,AqSolDBc development OOF,8047,ecfp__brics_gnn__ridge,ECFP,BRICS-subgroup GNN,ridge regression,0.9525816107648559,0.6673101990854509,0.0026580175056965484,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__murcko_gnn__xgb,ECFP,Murcko-subgroup GNN,XGBoost,0.9529742786161032,0.6841378495770375,0.0062236255000099406,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__brics_gnn__mlp,ECFP,BRICS-subgroup GNN,multilayer perceptron,0.9537143201123358,0.6650228321645455,0.020683244646262304,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__murcko_gnn__xgb,BRICS-subgroup GNN,Murcko-subgroup GNN,XGBoost,0.9561703814346957,0.6793283936462532,0.004794034300807758,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__murcko_gnn__ridge,BRICS-subgroup GNN,Murcko-subgroup GNN,ridge regression,0.9587987526214931,0.6844620338700702,0.0035317450062754955,0.80702,True
R01,AqSolDBc development OOF,8047,brics_gnn__murcko_gnn__mlp,BRICS-subgroup GNN,Murcko-subgroup GNN,multilayer perceptron,0.9603002056038454,0.6784612866836909,0.0344883163964052,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__ecfp__ridge,Mordred,ECFP,ridge regression,0.9603352502765267,0.6846947693873345,0.0017736118277449683,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__brics_gnn__knn,Mordred,BRICS-subgroup GNN,k-nearest neighbours,0.9620036981052973,0.6806479595679029,0.004192063402079362,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__atom_gnn__mlp,ECFP,atom-level 2D GNN,multilayer perceptron,0.9641170409484869,0.6378411790378579,0.01879456290926244,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__murcko_gnn__knn,Mordred,Murcko-subgroup GNN,k-nearest neighbours,0.9669544855453966,0.6783561199265494,0.008959826134327444,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__brics_gnn__knn,ECFP,BRICS-subgroup GNN,k-nearest neighbours,0.9719848217549524,0.6729566104547835,-0.0049607352768672,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__brics_gnn__xgb,ECFP,BRICS-subgroup GNN,XGBoost,0.9783464958646557,0.6936734726514352,0.001239199851559588,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__three_d_gnn__mlp,ECFP,3D-MPNN,multilayer perceptron,0.9947360055798288,0.6926313334999082,-0.012660547350137339,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__three_d_gnn__ridge,ECFP,3D-MPNN,ridge regression,1.0125398621749593,0.7220780844435905,-6.897986153018972e-05,0.80702,True
R01,AqSolDBc development OOF,8047,mordred__ecfp__knn,Mordred,ECFP,k-nearest neighbours,1.0514629615061466,0.7412401506835851,-0.007321881013112471,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__three_d_gnn__rf,ECFP,3D-MPNN,random forest,1.0523501237557034,0.7440379525921803,0.006555410392896675,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__three_d_gnn__xgb,ECFP,3D-MPNN,XGBoost,1.0820787704019594,0.7827713540082019,-0.0015310106002982453,0.80702,True
R01,AqSolDBc development OOF,8047,ecfp__three_d_gnn__knn,ECFP,3D-MPNN,k-nearest neighbours,1.0859892350559759,0.7624713596593031,0.10909174730001371,0.80702,True
R02,ComPlat OOF after global preselection,17937,mordred__ecfp__rf,Mordred,ECFP,random forest,0.9473238014497184,0.6263231029445364,-0.0022994605539151604,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__three_d_gnn__rf,ChemBERTa,3D-MPNN,random forest,0.9493719372562563,0.6244111905980319,-0.0021066003985680706,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__brics_gnn__rf,ChemBERTa,BRICS-subgroup GNN,random forest,0.9515260117450421,0.6211180206905379,-0.0011829142256800206,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__three_d_gnn__ridge,ChemBERTa,3D-MPNN,ridge regression,0.9521030130959314,0.6323495796385505,-0.00039686066065041,0.879214,True
R02,ComPlat OOF after global preselection,17937,chemberta__atom_gnn__rf,ChemBERTa,atom-level 2D GNN,random forest,0.9539219748302774,0.6267319771685309,0.0004764727929051736,0.879214,True
